X,Y,Z,VX,VY,VZ
-42692847.65425561,141652766.9012105,19741.28275847435,-29.07900565983301,-8.523346196507093,0.0005978788703449034
-45198577.01011016,140894396.8091779,19783.14182323217,-28.92248179960065,-9.03094558319544,0.0003758358009626761
-47690395.02493346,140092319.9045074,19807.18706718832,-28.75701653352358,-9.535059702251049,0.0001869983281608256
-50167537.21682608,139246841.7468002,19816.62064645439,-28.58279173604885,-10.03558901436577,3.853702942180348e-05
-52629253.69931493,138358275.8638802,19815.13681089133,-28.39996431174458,-10.53244693431812,-6.517901042135676e-05
-55074807.28195452,137426942.9840791,19806.71619789302,-28.20867229106396,-11.02555260261775,-0.0001217716307726491
-57503472.09493531,136453170.6806796,19795.48049484193,-28.00904051393618,-11.51482829227235,-0.0001302818586257359
-59914532.63099138,135437293.1032687,19785.58459316939,-27.80118446564259,-12.00019970122646,-9.08718369725392e-05
-62307283.02080212,134379650.6177416,19781.12388880551,-27.58521183261627,-12.48159753461671,-4.762470062757984e-06
-64681026.3484415,133280589.3006923,19786.03923711181,-27.36122193384843,-12.95895911093891,0.000125662965464457
-67035073.84326003,132140460.328489,19804.00872203708,-27.12930353558802,-13.43222906815117,0.0002966713072263261
-69368743.83884817,130959619.3661982,19838.3226229623,-26.88953177923924,-13.9013585964968,0.0005029915417997799
-71681360.45806831,129738426.0946642,19891.74482941628,-26.64196505028784,-14.36630300983559,0.0007376997203296654
-73972252.05288696,128477244.0132014,19966.36935846508,-26.38664254251189,-14.82701785741235,0.000992226274386887
-76240749.48271997,127176440.6240904,20063.48347343504,-26.12358300679116,-15.28345407073643,0.001256501020240108
-78486184.34110197,125836388.0573724,20183.4487310946,-25.85278479197211,-15.73555270903232,0.001519218163012148
-80707887.23462851,124457464.1530842,20325.60891167819,-25.57422696267567,-16.18323965167484,0.001768188275364402
-82905186.19464777,123040054.0051873,20488.23133144528,-25.28787122580071,-16.62642016931679,0.001990758990991992
-85077405.29120511,121584551.9952623,20668.48820915073,-24.9936647520568,-17.06497292241851,0.002174330591264706
-87223863.5555453,120091364.3875888,20862.48945559561,-24.69154470397427,-17.49874292173973,0.002307048426362535
-89343874.42357467,118560912.5737348,21065.38697102666,-24.38144608867999,-17.92753367313182,0.002378783439048959
-91436746.0714178,116993636.9749677,21271.57875845581,-24.06331483696864,-18.35110026374288,0.002382461972288752
-93501783.14448535,115390001.3727424,21475.03983847052,-23.73712692575891,-18.76914714369967,0.002315630491330545
-95538290.33544008,113750497.0498046,21669.78525923938,-23.40291134495181,-19.18133553004454,0.002181857183044755
-97545577.8972176,112075645.7411256,21850.42449092865,-23.06077054709916,-19.5873037728232,0.001991330962726856
-99522968.49499424,110366000.3098627,22012.71077170968,-22.71088954407442,-19.98669874287841,0.001760078294048562
-101469804.1043763,108622142.5265812,22153.95782439411,-22.35352735988631,-20.37920961818307,0.001507724981387071
-103385451.4239464,106844678.2491132,22273.22135698795,-21.98899215225157,-20.76459244692944,0.001254448323746438
-105269304.7414198,105034231.1835213,22371.22002398223,-21.61760906267626,-21.14267779161688,0.001018169554534154
